sentiment,text,user
"neutral","RT @deepakpatel_91: Cricketers playing IPL have an ICU-on-wheel ambulance on standby during matches in Ahmedabad even as there are no ambul…","mr_Jayesh105"
"neutral","IPL bnd ho aya kya😭🤧 https://t.co/coVcCi3HRB","Sushma_271213"
"neutral","RT @BhavikaKapoor5: People who are watching IPL and clapping and shouting with thrill are......inhuman. \n\n#COVID19India","anakbari2000"
"neutral","RT @nedariya_isa: मुर्ति ओर STADIUM के पिछे इतना पैसा खराब किया गया। लेकिन उसफी जगा अस्पताल बनाया होता तो ये दिन न देखना पडता।\nलोग मर रहे…","nedariya_isa"
"neutral","RT @ZiyaTaufiq: हज़ारों मौत पर मनोरंजन भारत की\n    संस्कृति हो सकती है, \nमेरे देश की नहीं........ ये कह कर\n  दो खिलाड़ियों ने #IPL छोड़ा,…","Nidakhan080"
"positive","RT @RaviShastriOfc: Brilliant game last night. Seeds being sowed for a potentially new winner to emerge #IPL2021 @IPL https://t.co/A0RKnI0y…","UnstoppableFcuk"
"neutral","RT @Abhinandan1234: Central Vista Project should stand as a monument for all those who suffered and died in Delhi during the pandemic/Delhi…","noorulshaikh"
"neutral","RT @ShivaniV2901: ऑस्ट्रेलियाई खिलाड़ी एंड्रू टॉय ने भारत में मौत के तांडव के बीच IPL के तमाशे का बहिष्कार कर अपने घर वापस लौट गए।\n\nलेकिन…","NadeemA51201736"
"positive","RT @criclover26: Probably the best non-century innings in the history of IPL. \n\nThe 87 of 25 by Mr. IPL where he decimates the KXIP (now PB…","johnpl618"
"neutral","RT @sanket: IPL matches in Delhi. There would be doctors, medical facilities and police on duty, diverted for these events. @BCCI must ask…","Sri_RamBhakth"
"positive","RT @criclover26: Probably the best non-century innings in the history of IPL. \n\nThe 87 of 25 by Mr. IPL where he decimates the KXIP (now PB…","RoyalRajputLK"
"neutral","RT @SushantSin: Some day it will be written that IPL was being played in Delhi, with extensive dedicated ambulance, testing and healthcare…","AshaliBhandari"
"neutral","@iamsrk @KKRiders @Russell12A @patcummins30 @DineshKarthik How can you promote IPL during pandemic","Sandeep08116675"
"neutral","RT @SushantSin: Some day it will be written that IPL was being played in Delhi, with extensive dedicated ambulance, testing and healthcare…","Almostconvinced"
"positive","The 2 best Test all-rounders of all time:\n\nJacques Kallis 🇿🇦\n166 Tests\n13289 runs @ 55.37\n292 wickets @ 32.65\n\nGarf… https://t.co/YeNLlrWoAZ","Zeus66sport"
"positive","@anandkatakam We as an audience too are responsible for this Anand. I'm a big fan of the IPL, but I think it's inap… https://t.co/uHzm7VZuII","richielionell"
"neutral","RT @Cricketracker: Sunil Gavaskar terms AB de Villiers a Genius.\n\n#DCvRCB #IPL #IPL2021 \n\nhttps://t.co/zn2kw7spnN","rahul_satpati"
"neutral","RT @AvengerReturns: MOM awards since 2018 in IPL.\nFor RCB:\n\n10 - ABD*\n2 - Kohli \n2 - Chahal \n\nFor MI:\n\nBumrah: 4\nRohit : 4\nSky :4 \n\nBut, Ro…","jsbumrah93"
"neutral","RT @ashoswai: Delhi is devastated by Covid, and thousands are dying. Delhi is hosting today's IPL cricket match. What a country! What it's…","aftab180673"
"positive","RT @Poorvika_Mobile: Which IPL team are you supporting this year? and why is it @chennaiipl?  \n\n#Poorvika #PoorvikaMobiles #IPL #ChennaiLov…","KAVIKAV58808395"
"positive","RT @CricCrazyJohns: NZ Cricket Players Association chief executive (in https://t.co/Eqc8ohpZ3m) said \"New Zealand players likely to travel…","Raghavsagar13"
"neutral","#Read\nIPL 2021: ಭಾರತದಲ್ಲಿ ಸ್ವಚ್ಛತಾ ವ್ಯವಸ್ಥೆ ಸರಿಯಿಲ್ಲ, ಬಯೋ ಬಬಲ್​ ನಿಯಮ ಸ್ವಲ್ಪವೂ ಸುರಕ್ಷಿತವಲ್ಲ! ಅದಕ್ಕಾಗಿ ಐಪಿಎಲ್ ತೊರೆದೆ;… https://t.co/pJCwuooWwf","tv9kannada"
"neutral","RT @ashoswai: Delhi is devastated by Covid, and thousands are dying. Delhi is hosting today's IPL cricket match. What a country! What it's…","i_m_47"
"neutral","RT @RaavananRoar: நீரோ மன்னர்கள் ஃபிடில் வாசிக்கின்றனர்.. \nIPL போட்டிகளில். https://t.co/lLpiRbYQX6","rajeshramaa"
"positive","RT @sunil_k26: Hopeless UP govt has left the people to die !!\nComplete collapse of health system !!\nHeart wrenching stories from Kanpur !!…","Sharlin15078367"
