sentiment,text,user
"neutral","RT @Shubham31286214: Ab to Indian politics me neta kam, \nPR/marketing gurus jyada hai. https://t.co/MUTx9Iu9yi","anuragteddy"
"neutral","@asgarhid @UntoldStorY06 @srinivasiyc Asgar, I agree with you but Shrinivas ( IYC) and Rubika atleast helped Yogesh… https://t.co/Dz2uiJpHQw","VarunJoshiJ"
"neutral","@Logictriumphs @ankitkr0 Just wait till you get covid data from UP and WB and then repeat the statement \nOh wait, P… https://t.co/urrtvhuOdg","TheBagAndBoard"
"positive","RT @TimesNow: Arvind Kejriwal is the biggest non-performing asset in Indian politics. He decided to impress upon judges through these cheap…","imshivmgoyal"
"negative","The condition of India and Indian politics are worst we are still a third world country we need to think how can we improve our country","1988baban"
"neutral","RT @rupadash: How do Indian Americans feel about current Biden administration role in #COVID19  crisis in  India? This is shame even during…","stellapolarebh"
"negative","RT @NamJustus: China adds carrier pier to Djibouti base, extending Indian Ocean reach https://t.co/yR5rgPv5Gy","WongMNC_CtrExDr"
"negative","RT @Outlookindia: REPLUG│Remdesivir crunch is due to bad science, bad politics: Ex-president, Indian Medical Association. \n@IndianMedAssn│B…","RakeshS90403803"
"neutral","RT @NokianChetan: Indian Politics Is Danger Than The Covid-19","Vaibhav70722950"
"positive","why UP is so much important for Indian politics?","gorokhia"
"negative","@GautamGambhir @ArvindKejriwal GG you already hold the stock of life saving medicine and disturbing among patients,… https://t.co/4P3DQ7cQQ5","_VISHAL_RANA"
"neutral","Browncast: Gaurav Returns to Give An Update on Indian Covid &amp; Marathi Politics https://t.co/OWBYLZzqnU","brownpundits"
"positive","@nilesh14 Biden's talking about India bro...not Modi, any Indian should feel excited, Modi fan or not. This is not… https://t.co/vHQBvlDKve","tushar_sathe"
"negative","RT @TSaleem13: #IndianPropagandaFailed\nMoney 💰 spending on Pakistan 🇵🇰 to created chaos, can be spent on oxygen. Hitler Modi is stealing mo…","TSaleem13"
"positive","RT @amitmalviya: First they create doubts in the minds of average Indians about the efficacy of the vaccine, deride Indian scientists, bera…","SouravDindaBJP"
"positive","RT @rahulrah91: #OneMovie is very right topic to discuss about Indian politics...","Abhinan12045904"
"negative","The ruthless politics of the Centre’s vaccine strategy The Indian Express https://t.co/vM2wVZOi6E","sarang143u"
"positive","@prabhu3214 @PrabakaranJT @RoboTalksTamil @karthaa @U2Brutus_off Indian states are divided on linguistic basis only… https://t.co/y4enTjqm9i","karthic54346632"
"neutral","Canada sending $10M to Indian Red Cross to support COVID-19 fight\n\n https://t.co/rM2fnBK7Pn","HilalSuhaib"
"neutral","RT @CTVNews: PM Trudeau says Canada will send $10 million to Indian Red Cross for funding of ambulances and PPE https://t.co/lLnal8iCFs","lilly0798"
"neutral","RT @superwomzn: I am SO pissed off at Indian political systems and leaders. \n\nAll the founders, CEOs, educated people, retiring managing pa…","HaribaPauline"
"neutral","RT @alfonslopeztena: My theory about Indian politics has been that people vote on ideas, and not about the material things people assume th…","PatelYusuf94"
"neutral","#COVID19 \nIf India is epicentre of pandemic, Kashmir is epicentre of Indian delusional politics on Muslim subjects of Kashmir.","skohegan1"
"positive","@dumigwebu @Italiano_Laura Facts. The important truth is Harris S’d D’s up the rungs of the political Black machine… https://t.co/zRBdvl60P3","PlatosCaveGrad"
"positive","RT @rahulrah91: #OneMovie is very right topic to discuss about Indian politics...","AlanTPious"
"positive","@vanbadham I think we need to understand the scale of the problem here and the politics. Indian government has yuge resources available.","darwinb0y"
"neutral","@kaambhula @saurabh_sri12 @thewire_in Thike bhai toh tum batao ab Indian Politics mai quality kaise lasakte? Govern… https://t.co/9AvyKvAKPn","sharik_somani"
